中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,12,,"7157011600
綜合規劃業務","91,779 ","89,058 ","2,721 ","本年度預算數之內容與上年度之比較如下：
1.政策規劃經費16,347千元，較上年度增列
   辦理衛生福利政策交流會議等經費5,416
   千元。
2.管制考核經費3,972千元，較上年度減列
   送子鳥資訊服務網系統更新等經費343千
   元。
3.政策推展經費7,294千元，較上年度減列
   辦理健康服務品質政策業務等經費774千
   元。
4.衛生教育模式之建立與推廣經費6,932千
   元，較上年度減列辦理整體施政滿意度及
   特定議題民意調查等經費2,778千元。
5.衛生與社會福利統計及調查分析經費38,7
   11千元，較上年度增列醫療機構服務量調
   查線上填報系統開發等經費454千元。
6.衛生福利人員訓練經費18,523千元，較上
   年度增列辦理訓練教材編修及資訊設備購
   置等經費746千元。",
,,13,,"7157011700
國際衛生業務","47,524 ","52,020 ","-4,496 ","本年度預算數之內容與上年度之比較如下：
1.參與多邊國際性組織活動經費10,828千元
   ，較上年度增列辦理國際經貿之衛生福利
   相關研究及法律諮詢等經費164千元。
2.雙邊國際衛生合作與交流經費12,407千元
   ，較上年度減列辦理醫療器材援助平臺計
   畫等經費296千元。
3.區域性國際衛生合作交流經費5,198千元
   ，較上年度減列辦理推展非洲地區國家衛
   生合作計畫等經費4,063千元。
4.國際醫衛人才培育及醫療衛生援助合作經
   費19,091千元，較上年度減列辦理臺灣國
   際醫療衛生人員訓練中心計畫等經費301
   千元。",
,,14,,"7157011800
衛生福利資訊業務","111,690 ","107,592 ","4,098 ","本年度預算數之內容與上年度之比較如下：
1.衛福行政資訊服務經費22,092千元，較上
   年度增列衛福行政資訊系統維運等經費19
   2千元。
2.基礎建設及網路服務經費52,405千元，較
   上年度減列醫療資訊網服務中心之運作管
   理等經費8,888千元。
3.公衛、醫療及社政資訊服務經費18,877千
   元，較上年度減列公衛及醫療資訊系統維
   運等經費5,522千元。
4.新增推動智能醫療經費18,316千元。",
,,15,,"7157011900
醫院營運業務","3,871,798 ","3,835,970 ","35,828 ","本年度預算數3,871,798千元，係辦理醫院
營運輔導經費，較上年度增列建置2家所屬
醫院智能醫療照護示範中心之自動化醫療照
護系統等經費35,828千元。",
,,16,,"7157018100
非營業特種基金","536,036 ","700,702 ","-164,666 ",,
,,,1,"7157018110
國立臺灣大學附設醫院作業基金","490,736 ","700,702 ","-209,966 ","新竹生醫園區醫院新建工程計畫總經費5,49
8,289千元，其中公務預算負擔1,400,000千
元，分4年辦理，103至105年度已編列909,2
64千元，本年度續編最後1年經費490,736千
元，較上年度減列209,966千元。",
,,,2,"7157018130
醫療藥品基金","45,300 ",-,"45,300 ",新增樂生園區整體發展計畫經費如列數。,
,,17,,"7157019000
一般建築及設備","1,380 ",-,"1,380 ",,
,,,1,"7157019011
交通及運輸設備","1,380 ",-,"1,380 ",新增汰換公務車2輛經費如列數。,
,,18,,"7157019800
第一預備金","14,000 ","14,000 ",0 ,仍照上年度預算數編列。,
,2,,,"0057050000
疾病管制署","5,084,426 ","5,624,044 ","-539,618 ",,
,,,,"5257050000
科學支出","381,748 ","269,178 ","112,570 ",,
,,1,,"5257050400
科技發展工作","381,748 ","269,178 ","112,570 ","本年度預算數之內容與上年度之比較如下：
1.防疫科技發展研究及科技管理經費150,98
   0千元，較上年度減列委託辦理防疫發展
   工作等經費4,514千元。
2.物質成癮整合型計畫進行藥癮族群愛滋防
   治研究經費1,181千元，較上年度減列購
   置採血用品、檢驗相關耗材與試劑等經費
   39千元。
3.食媒性傳染病及其病原監測防護網研究計
   畫經費102,709千元，較上年度增列購置
   科技研究檢測相關試劑耗材等經費36,069
   千元。
4.防疫雲2.0計畫經費15,000千元，較上年
   度減列補捐助醫療院所配合實驗室傳染病
   自動通報系統所需軟硬體與程式修改等經
   費7,896千元。
5.傳染病快速檢驗試劑之研發及生物風險管
   理系統經費12,658千元，較上年度增列委
   託建構實驗室生物風險管理系統研究及相
   關試劑耗材等經費378千元。
6.氣候變遷相關傳染病對國人健康及防疫影
   響之評估經費10,469千元，較上年度減列
   購置檢測分析使用試劑耗材等經費179千
   元。
7.新增防疫一體傳染病整合防治計畫經費80
   ,000千元。
8.新增巨量資料於感染相關監測及防治策略
   之應用計畫經費8,751千元。",
,,,,"7157050000
醫療保健支出","4,702,678 ","5,354,866 ","-652,188 ",,
,,2,,"7157050100
一般行政","968,400 ","1,003,711 ","-35,311 ","本年度預算數之內容與上年度之比較如下：
1.人員維持經費935,477千元，較上年度核
   實減列人事費34,977千元。
2.基本行政工作維持經費32,923千元，較上
   年度減列購置辦公事務用品及汰換事務設
   備等經費334千元。",
,,3,,"7157050200
防疫業務","3,729,228 ","4,348,105 ","-618,877 ","本年度預算數之內容與上年度之比較如下：
1.企劃及綜合業務經費98,441千元，較上年
   度增列75,184千元，包括：
  (1)辦理防疫綜合業務經費26,878千元，
     較上年度增列補助地方政府辦理疫病防
     治業務及社區防疫等經費3,621千元。
  (2)急性傳染病流行風險監控與管理第二
     期計畫總經費3,911,999千元，公務預
     算分攤299,992千元，分5年辦理，105
     年已編列49,066千元，本年度續編第2
     年經費50,000千元，新增本科目編列25
     ,761千元。
  (3)愛滋防治第六期五年計畫總經費12,50
     4,544千元，分5年辦理，本年度編列第
     1年經費1,268,407千元，其中本科目編
     列26,990千元。
  (4)我國加入WHO2035消除結核第一期計畫
     總經費18,390,319千元，分5年辦理，1
     05年已編列1,062,865千元，本年度續
     編第2年經費1,062,811千元，新增本科
     目編列18,812千元。
2.檢疫防疫業務經費91,320千元，較上年度
   減列23,312千元，包括：
  (1)急性傳染病流行風險監控與管理第二
     期計畫總經費3,911,999千元，公務預
     算分攤299,992千元，分5年辦理，105
     年已編列49,066千元，本年度續編第2
     年經費50,000千元，其中本科目編列24
     ,239千元，較上年度減列24,827千元。
  (2)辦理人畜共通傳染病及因應氣候變遷
     相關傳染病業務經費3,252千元，較上
     年度減列防疫消毒劑、藥品及器材之儲
     備等經費1,043千元。
  (3)辦理轄區傳染病防治及邊境檢疫業務
     經費63,829千元，較上年度增列汰換紅
     外線熱影像儀等經費2,558千元。
3.慢性傳染病防治業務經費385,910千元，
   較上年度減列45,802千元，包括：
  (1)我國加入WHO2035消除結核第一期計畫
     總經費18,390,319千元，分5年辦理，1
     05年已編列1,062,865千元，本年度續
     編第2年經費1,062,811千元，其中本科
     目編列244,493千元，較上年度減列18,
     812千元。
  (2)新增愛滋防治第六期五年計畫總經費1
     2,504,544千元，分5年辦理，本年度編
     列第1年經費1,268,407千元，其中本科
     目編列141,417千元。
  (3)上年度辦理愛滋防治第五期五年計畫
     預算業已編竣，本科目所列168,407千
     元如數減列。
4.緊急應變整備業務經費326,958千元，較
   上年度減列13,331千元，包括：
  (1)我國因應流感大流行準備第三期計畫
     總經費3,228,200千元，分6年辦理，10
     5年已編列314,614千元，本年度續編第
     2年經費304,813千元，較上年度減列9,
     801千元。
  (2)新興傳染病風險監測與應變整備計畫
     總經費661,340千元，分6年辦理，105
     年已編列6,447千元，本年度續編第2年
     經費5,802千元，較上年度減列645千元
     。
  (3)辦理應變規劃業務經費9,249千元，較
     上年度減列購置應變規劃物品等經費1,
     633千元。
  (4)辦理感染症防治中心業務經費7,094千
     元，較上年度減列辦理相關公共事務管
     理等經費1,252千元。
5.疾病監測及調查業務經費68,830千元，較
   上年度減列辦理防疫資訊作業等經費14,7
   02千元。
6.傳染病研究檢驗及血清疫苗研製業務經費
   127,053千元，較上年度增列卡介苗及抗
   蛇毒血清生物製劑生產供應計畫等經費3,
   140千元。
7.傳染病防治醫療業務經費1,899,506千元
   ，較上年度減列600,054千元，包括：
  (1)我國加入WHO2035消除結核第一期計畫
     總經費18,390,319千元，分5年辦理，1
     05年已編列1,062,865千元，本年度續
     編第2年經費1,062,811千元，其中本科
     目編列799,506千元，較上年度減列54
     千元。
  (2)新增愛滋防治第六期五年計畫總經費1
     2,504,544千元，分5年辦理，本年度編
     列第1年經費1,268,407千元，其中本科
     目編列1,100,000千元。
  (3)上年度愛滋防治第五期五年計畫預算
     業已編竣，本科目所列1,700,000千元
     如數減列。
8.疫苗基金補助充實國家疫苗基金及促進國
   民免疫力第二期計畫總經費3,655,000千
   元，分5年辦理，103至105年已編列2,193
   ,630千元，本年度續編第4年經費731,210
   千元，與上年度同。",
,,4,,"7157059000
一般建築及設備","5,000 ","3,000 ","2,000 ",,
,,,1,"7157059011
交通及運輸設備","5,000 ","3,000 ","2,000 ","本年度預算數之內容與上年度之比較如下：
1.新增購置生物防護人員運輸指揮車1輛經
   費5,000千元。
2.上年度購置生物防護車2輛預算業已編竣
   ，所列3,000千元如數減列。",
,,5,,"7157059800
第一預備金",50 ,50 ,0 ,仍照上年度預算數編列。,
,3,,,"0057150000
食品藥物管理署","2,817,472 ","2,825,604 ","-8,132 ",,
,,,,"5257150000
科學支出","711,937 ","699,401 ","12,536 ",,
,,1,,"5257150300
科技發展工作","711,937 ","699,401 ","12,536 ","本年度預算數之內容與上年度之比較如下：
1.確保衛生安全環境整合型計畫經費153,50
   2千元，較上年度減列辦理藥品科技發展
   與法規科學研究等經費1,374千元。
2.管制藥品及藥物濫用防制研究經費16,989
   千元，較上年度增列辦理濫用藥物檢驗實
   務應用技術及資料建立研究等經費1,389
   千元。
3.精進我國食品安全科技研究經費288,906
   千元，較上年度增列辦理食品安全風險辨
   識與安全評估等經費19,762千元。
4.中西藥品安全管理精進整合計畫經費23,9
   08千元，較上年度減列辦理藥品國際化專
   案輔導計畫等經費666千元。
5.食品食媒性病原之調查監測經費24,718千
   元，較上年度增列辦理食品中高風險病原
   之調查研究等經費8,246千元。
6.健康醫藥生技前瞻發展計畫經費139,239
   千元，較上年度增列辦理國際醫藥品經貿
   與法規議題研究及推動兩岸醫藥品合作發
   展等經費3,214千元。
7.食品安全巨量資料系統建置計畫經費57,7
   81千元，較上年度減列辦理食品追溯追蹤
   管理資訊系統開發與功能擴充等經費11,7
   19千元。
8.新增藥物濫用資料分析及應用經費6,894
   千元。
9.上年度辦理國家生技研究園區開發計畫預
   算業已編竣，所列13,210千元如數減列。",
,,,,"7157150000
醫療保健支出","2,105,535 ","2,126,203 ","-20,668 ",,
,,2,,"7157150100
一般行政","701,986 ","704,681 ","-2,695 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費662,712千元，與上年度同。
2.基本行政工作維持費39,274千元，較上年
   度減列購置金山庫房檔案櫃等經費2,695
   千元。",
,,3,,"7157150200
食品藥物管理業務","1,400,569 ","1,421,502 ","-20,933 ",,
,,,1,"7157150210
食品業務","734,087 ","770,463 ","-36,376 ","本年度預算數之內容與上年度之比較如下：
1.食品企劃管理業務經費18,124千元，較上
   年度減列為民服務專線委外計畫等經費7,
   695千元。
2.食品安全衛生管理業務經費45,620千元，
   較上年度增列辦理食品查驗登記業務等經
   費9,742千元。
3.食品檢驗業務經費12,188千元，較上年度
   增列辦理食品查驗登記及上市前之檢驗業
   務等經費4,444千元。
4.食品邊境查驗及國內外稽查業務經費410,
   967千元，較上年度增列辦理輸入食品查
   驗等經費52,922千元。
5.食品資訊業務經費3,689千元，較上年度
   減列數據及網路通訊費等經費3,111千元
   。
6.食品安全風險管理業務經費4,763千元，
   較上年度減列辦理食品檢驗機構認證等經
   費1,293千元。
7.新增食安新秩序－食安網絡計畫經費238,
   736千元。
8.上年度辦理重建食品安全計畫預算業已編
   竣，所列318,527千元如數減列。
9.上年度辦理食品上市前管理計畫預算業已
   編竣，所列11,594千元如數減列。",
