,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,01,,"　　60202000100
　　一般行政","231,443","235,389","-3,946",
,,,01,"　　　60202000101
　　　行政管理","231,443","235,389","-3,946","本年度預算數之內容與上年度之比較如下：
1.人員維持費222,204千元，較上年度核實減列人事費3,110千元。
2.基本行政工作維持費9,239千元，較上年度減列三節慰問金及資訊軟硬體設備等經費836千元。
　"
,,02,,"　　60202000900
　　交通規劃及管理","2,330,546","1,697,809","632,737",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　60202000901
　　　運輸規劃","84,884","51,656","33,228","本年度預算數較上年度增列33,228千元，包括：
1.運輸規劃81,968千元，較上年度增列2017生態交通全球盛典等經費33,017千元。
2.運輸設施規劃及興建2,916千元，較上年度增列轉運站土地租金等經費211千元。
　"
,,,02,"　　　60202000902
　　　停車場管理",311,"2,131","-1,820","本年度預算數311千元，較上年度減列補助民營路外收費停車場應分攤之地價稅及房屋稅1,820千元。
　"
,,,03,"　　　60202000903
　　　運輸管理","2,048,958","1,445,537","603,421","本年度預算數較上年度增列603,421千元，包括：
1.運輸業務1,863,371千元，較上年度增列公車業者營運虧損補貼及公路公共運輸提昇計畫等經費571,173千元。
2.運輸監理145,042千元，較上年度增列旗鼓航線新購電力驅動渡輪及岸上快速充電設備計畫等經費35,353千元。
3.運輸設施管理40,149千元，較上年度減列運輸場站與候車設施水電費等經費3,105千元。
　"
,,,04,"　　　60202000904
　　　交通管制","176,796","182,687","-5,891","本年度預算數較上年度減列5,891千元，包括：
1.交通管制業務62,761千元，較上年度減列環島自行車道設置導引標誌標線工程等經費5,002千元。
2.智慧運輸中心業務114,035千元，較上年度減列智慧交通基礎建設與應用計畫等經費889千元。
　"
,,,05,"　　　60202000905
　　　交通裁罰業務","19,597","15,798","3,799","本年度預算數19,597千元，較上年度增列辦理強制執行所需掛號郵資等經費3,799千元。
　"
,,03,,"　　60202007900
　　第一預備金",240,240,-,
,,,01,"　　　60202007901
　　　第一預備金",240,240,-,"仍照上年度預算數編列。
　"
,002,,,"　00202010000
　高雄市政府交通局車輛行
　車事故鑑定委員會","10,316","10,314",2,
,,01,,"　　60202011000
　　交通行政","10,316","10,314",2,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　60202011001
　　　車輛行車事故鑑定業
　　　務","10,316","10,314",2,"本年度預算數之內容與上年度之比較如下：
1.人員維持費7,919千元，較上年度核實增列人事費149千元。
2.基本行政工作維持費2,397千元，較上年度減列書表印製等經費147千元。
　"
21,,,,"00210000000
高雄市政府海洋局主管","827,659","635,147","192,512",
,001,,,"　00212100000
　高雄市政府海洋局","827,659","635,147","192,512",
,,01,,"　　58212100100
　　一般行政","100,456","100,836",-380,
,,,01,"　　　58212100101
　　　行政管理","100,456","100,836",-380,"本年度預算數之內容與上年度之比較如下：
1.人員維持費94,661千元，較上年度核實減列人事費523千元。
2.基本行政工作維持費5,795千元，較上年度增列一般事務費等經費143千元。
　"
,,02,,"　　58212100400
　　港務行政","30,641","37,919","-7,278",
,,,01,"　　　58212100401
　　　港務行政及管理","30,641","37,919","-7,278","本年度預算數較上年度減列7,278千元，包括：
1.其它業務運作及維持經費7,989千元，較上年度增列租用車輛等經費394千元。
2.第二類漁港管理維護相關經費22,652千元，較上年度減列672千元。
3.上年度辦理中芸漁港波浪觀測調查工作、興達漁港遊艇觀光商業區BOT先期規劃暨招商計畫及彌陀漁港照明設備改善工程預算業已編竣，所列7,000千元如數減列。
　"
,,03,,"　　58212100500
　　漁業行政","30,788","110,120","-79,332",
,,,01,"　　　58212100501
　　　漁業行政及管理","3,647","3,282",365,"本年度預算數較上年度增列365千元，包括：
1.新增漁村旅遊及產業推廣計畫480千元。 
2.漁村休閒漁業推廣計畫310千元，較上年度減列115千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　58212100502
　　　漁業輔導及推廣","27,141","106,838","-79,697","本年度預算數較上年度減列79,697千元，包括：
1.新增辦理流域綜合治理計畫-魚塭加高塭堤及循環水養殖設施補助計畫1,115千元。
2.新增辦理獎勵地方政府強化食品安全管理方案試辦計畫3,000千元。
3.新增辦理高雄市彌陀區虱目魚虱想起-海味漁鄉產業輔導計畫5,000千元。
4.其它業務運作及維持經費14,196千元，較上年度增列行銷推廣等經費743千元。
5.補助漁會及漁業團體3,830千元，較上年度減列685千元。
6.上年度辦理岡山魚市場遷建經費預算業已編竣，所列88,870千元，如數減列。
　"
,,04,,"　　58212100600
　　漁業設施","406,779","133,313","273,466",
,,,01,"　　　58212100601
　　　漁業工程規劃及修建","406,779","133,313","273,466","本年度預算數較上年度增列273,466千元，包括：
一、汕尾漁港土方標售及其它業務運作相關經費4,492千元，較上年度增列汕尾漁港土方標售空污費等費用839千元。
二、設備及投資402,287千元，較上年度增列272,627千元，本年度編列項目如下：
1.漁港疏浚及漁業設施興(修)建維護工程25,575千元。
2.蚵子寮魚貨直銷中心新建工程80,000千元。
3.促進養殖漁業與環境和諧計畫82,668千元。
4.永安、永華與新港養殖漁業生產區移動式抽水機購置20,800千元。
5.中芸漁港東防波堤延長工程104,000千元。
6.達漁港加油碼頭修復工程2,290千元。
7.彌陀養殖魚塭集中區東西向排水工程4,683千元。
8.鳳鼻頭漁港環境綠化改善工程6,500千元。
9.鳳鼻頭漁港疏浚工程4,000千元。
10.流域綜合治理計畫-水產養殖排水-高雄市養殖區排水路清淤工作1,771千元。
11.岡山魚市場遷建計畫工程70,000千元。
　"
,,05,,"　　58212107900
　　第一預備金",200,200,-,
,,,01,"　　　58212107901
　　　第一預備金",200,200,-,"仍照上年度預算數編列
　"
,,06,,"　　61212100600
　　海洋行政","17,243","18,543","-1,300",
,,,01,"　　　61212100601
　　　海洋行政及管理","10,353","5,853","4,500","本年度預算數10,353千元，較上年度增列4,500千元，包括：
1.新增辦理高雄市海底（漂）垃圾清除暨海洋環境教育宣導計畫5,000千元。
2.辦理水體環境水質改善及經營管理計畫369千元，較上年度減列455千元。
3.對特種基金之補助30千元係按罰鍰收入提撥5%環境教育基金費用，較上年度減列45千元。
　"
,,,02,"　　　61212100602
　　　海洋產業輔導及管理","6,890","12,690","-5,800","本年度預算數較上年度減列5,800千元，包括：
1.新增辦理南星遊艇專區保全及維護費200千元。
2.辦理台灣國際遊艇展相關經費3,000千元，較上年度減列6,000千元。
　"
,,07,,"　　67212100300
　　漁業救助","8,384","9,624","-1,240",
,,,01,"　　　67212100301
　　　漁業災害救助","8,384","9,624","-1,240","本年度預算數8,384千元，較上年度減列漁船及船員遭難救助金1,240千元
　"
,,08,,"　　68212100700
　　漁業福利","233,168","224,592","8,576",
,,,01,"　　　68212100701
　　　漁業福利","233,168","224,592","8,576","本年度預算數233,168千元，較上年度增列老年漁民津貼8,576千元。
　"
22,,,,"00220000000
高雄市政府都市發展局主管","384,931","414,319","-29,388",
,001,,,"　00222200000
　高雄市政府都市發展局","384,931","414,319","-29,388",
,,01,,"　　72222200100
　　一般行政","168,620","168,931",-311,
,,,01,"　　　72222200101
　　　行政管理","163,376","163,647",-271,"本年度預算數之內容與上年度之比較如下:
1.人員維持費159,596千元，較上年度減列約聘僱人員酬金547千元。
2.基本行政工作維持費3,780千元，較上年度增列車輛相關經費276千元。
　"
,,,02,"　　　72222200102
　　　業務管理","5,244","5,284",-40,"本年度預算數5,244千元，較上年度減列教育訓練、其他業務租金、一般事務費等經費40千元。
　"
,,02,,"　　72222200300
　　都市發展業務","174,533","189,069","-14,536",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　72222200301
　　　綜合企劃業務",876,"1,321",-445,"本年度預算數876千元，較上年度減列都市開發許可執行業務445千元。
　"
,,,02,"　　　72222200302
　　　區域發展及審議業務","1,489","1,501",-12,"本年度預算數1,489千元，較上年度減列教育訓練費12千元。
　"
,,,03,"　　　72222200303
　　　都市規劃業務","2,705","3,039",-334,"本年度預算數2,705千元，較上年度減列通訊郵資等經費334千元。
　"
,,,04,"　　　72222200304
　　　都市設計業務","3,911",914,"2,997","本年度預算數3,911千元，較上年度增列捷興一街北側建物及廣場改善計畫等經費2,997千元。
　"
,,,05,"　　　72222200305
　　　社區營造業務","23,695","22,907",788,"本年度預算數較上年度增列788千元，包括:
1.公共領域營造經費3,328千元，較上年度增列哈瑪星街巷空間營造計畫等經費789千元。
2.清淨家園社區營造計畫經費10,000千元，較上年度增列補助綠美化景觀維護等經費1,000千元。
3.社區規劃研究經費5,367千元，較上年度減列其他業務租金1千元。
4.建築風貌環境景觀改造暨營運輔導實施計畫經費5,000千元，較上年度減列1,000千元。
　
　"
,,,06,"　　　72222200306
　　　更新及住宅發展業務","132,685","145,559","-12,874","本年度預算數較上年度減列12,874千元，包括:
1.國宅管理維護業務3,297千元，較上年度增列五甲國宅社區公共設施用地清潔等費用2,040千元。
2.住宅政策業務164千元，較上年度減列社會住宅先期規劃案等經費5,440千元。
3.都市更新機制相關業務335千元，較上年度減列國外旅費80千元。
4.住宅服務及租金補貼業務128,794千元，較上年度減列租金補助等經費9,206千元。
5.住宅工程業務經費95千元，較上年度減列一般事務費及國內旅費188千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,07,"　　　72222200307
　　　都市開發業務","9,172","13,828","-4,656","本年度預算數較上年度減列4,656千元，包括:
1.都市開發安置2,234千元，較上年度增列設施及機械設備養護費1,163千元。
2.都市開發工程246千元，較上年度減列土地租金648千元。
3.都市計畫定樁測量995千元，較上年度減列委辦費等經費181千元。
4.分區管制執行業務247千元，較上年度減列車輛及辦公器具養護費20千元。
5.都市開發後續維護工程2,090千元，較上年度減列626千元。
6.上年度辦理高雄市都市計畫鑄鐵蓋樁位巡檢暨汰換計畫預算業已編竣，所列4,344千元如數減列。
　"
